 Time ,Sensor,X-Axis,Y-Axis,Z-Axis
1641807872516.00,S3:,0.13,-1,0.14
1641807872528.00,S3:,0.13,-1,0.15
1641807872540.00,S3:,0.13,-0.99,0.14
1641807872552.00,S3:,0.13,-1,0.15
1641807872564.00,S3:,0.12,-1,0.14
1641807872577.00,S3:,0.13,-1,0.15
1641807872589.00,S3:,0.12,-1,0.14
1641807872601.00,S3:,0.12,-1,0.15
1641807872613.00,S3:,0.13,-1,0.14
1641807872625.00,S3:,0.13,-1,0.14
1641807872637.00,S3:,0.13,-1,0.15
1641807872650.00,S3:,0.12,-1,0.14
1641807872662.00,S3:,0.13,-1,0.14
1641807872674.00,S3:,0.13,-1,0.15
1641807872686.00,S3:,0.13,-1,0.15
1641807872698.00,S3:,0.12,-1,0.14
1641807872711.00,S3:,0.12,-1,0.15
1641807872723.00,S3:,0.12,-1,0.14
1641807872735.00,S3:,0.13,-1,0.14
1641807872747.00,S3:,0.12,-1,0.15
1641807872759.00,S3:,0.12,-1,0.15
1641807872771.00,S3:,0.13,-1,0.16
1641807872783.00,S3:,0.13,-1,0.14
1641807872796.00,S3:,0.13,-1,0.14
1641807872808.00,S3:,0.12,-1,0.15
1641807872820.00,S3:,0.13,-1,0.13
1641807872833.00,S3:,0.12,-1,0.14
1641807872845.00,S3:,0.13,-1,0.14
1641807872857.00,S3:,0.13,-1,0.15
1641807872869.00,S3:,0.12,-1,0.16
1641807872881.00,S3:,0.12,-1,0.15
1641807872893.00,S3:,0.12,-1,0.15
1641807872905.00,S3:,0.12,-1,0.14
1641807872917.00,S3:,0.12,-1,0.15
1641807872930.00,S3:,0.12,-1,0.14
1641807872941.00,S3:,0.12,-0.99,0.14
1641807872954.00,S3:,0.12,-0.99,0.14
1641807872966.00,S3:,0.12,-1,0.15
1641807872978.00,S3:,0.12,-1,0.15
1641807872990.00,S3:,0.12,-1,0.14
1641807873006.00,S3:,0.13,-1,0.14
1641807873015.00,S3:,0.11,-1,0.15
1641807873027.00,S3:,0.13,-1,0.14
1641807873039.00,S3:,0.13,-0.99,0.14
1641807873051.00,S3:,0.12,-1,0.14
1641807873063.00,S3:,0.13,-1,0.14
1641807873075.00,S3:,0.12,-1,0.14
1641807873087.00,S3:,0.13,-1,0.15
1641807873100.00,S3:,0.13,-1,0.15
1641807873112.00,S3:,0.13,-1,0.15
1641807873124.00,S3:,0.13,-1,0.15
1641807873136.00,S3:,0.13,-1,0.15
1641807873148.00,S3:,0.13,-1,0.13
1641807873160.00,S3:,0.13,-1,0.15
1641807873173.00,S3:,0.13,-1,0.14
1641807873185.00,S3:,0.13,-1,0.14
1641807873198.00,S3:,0.12,-1,0.14
1641807873210.00,S3:,0.12,-1,0.14
1641807873222.00,S3:,0.13,-1,0.13
1641807873234.00,S3:,0.13,-1,0.15
1641807873246.00,S3:,0.12,-1,0.15
1641807873258.00,S3:,0.12,-1,0.15
1641807873270.00,S3:,0.13,-1,0.15
1641807873283.00,S3:,0.13,-1,0.15
1641807873295.00,S3:,0.12,-1,0.14
1641807873307.00,S3:,0.13,-1,0.14
1641807873319.00,S3:,0.13,-1,0.14
1641807873331.00,S3:,0.13,-0.99,0.15
1641807873343.00,S3:,0.13,-1,0.14
1641807873355.00,S3:,0.13,-1,0.14
1641807873368.00,S3:,0.13,-1,0.14
1641807873380.00,S3:,0.12,-0.99,0.14
1641807873392.00,S3:,0.13,-1,0.14
1641807873404.00,S3:,0.13,-1,0.14
1641807873416.00,S3:,0.12,-0.99,0.14
1641807873429.00,S3:,0.12,-1,0.14
1641807873441.00,S3:,0.12,-1,0.14
1641807873453.00,S3:,0.13,-1,0.15
1641807873465.00,S3:,0.13,-0.99,0.15
1641807873477.00,S3:,0.13,-1,0.15
